lon;lat;Model1;Model2;Model3;GSMaP
90,25 ;-6,75 ;18,16;19,88;20,86;73,92
90,25 ;-6,63 ;17,16;23,42;21,72;64,08
90,25 ;-6,50 ;15,5;25,02;20,22;42
90,25 ;-6,38 ;12,78;23,59;20,88;30
90,25 ;-6,25 ;13;22,59;20;24,24
90,25 ;-6,13 ;13,38;23,48;21,48;20,88
90,25 ;-6,00 ;15,81;24,14;22,89;11,28
90,25 ;-5,88 ;15,78;23,55;24,53;15,6
90,25 ;-5,75 ;18,72;24,27;28,94;17,28
90,25 ;-5,63 ;19,47;22,61;27,88;16,32
90,25 ;-5,50 ;18,16;23,2;30,02;8,16
90,25 ;-5,38 ;18,38;23,88;32,47;7,68
90,25 ;-5,25 ;20,09;27,61;31,62;7,68
90,25 ;-5,13 ;20,19;28,39;29,27;10,32
90,25 ;-5,00 ;20,19;26,95;27,77;11,52
90,25 ;-4,88 ;22;26,17;28,95;12,96
90,25 ;-4,75 ;20,28;25,95;29,23;14,16
90,25 ;-4,63 ;17,88;23,41;30,69;24
90,25 ;-4,50 ;17,59;25,28;30,77;17,76
90,25 ;-4,38 ;16,88;29,34;32,78;4,8
90,25 ;-4,25 ;19,81;25,55;28,22;5,28
90,25 ;-4,13 ;19,59;28,08;23,22;3,6
90,25 ;-4,00 ;18,69;28,72;21,7;0,24
90,25 ;-3,88 ;21,03;30,17;19,25;0
90,25 ;-3,75 ;26,06;32,14;21,31;0
90,25 ;-3,63 ;23,5;35,33;23,05;0
90,25 ;-3,50 ;26,03;36,38;21,86;0
90,25 ;-3,38 ;19,91;35,75;21,03;0
90,25 ;-3,25 ;17,94;31,47;21,91;0
90,25 ;-3,13 ;14,75;28,25;21,16;0
90,25 ;-3,00 ;18,12;29,06;19,81;0
90,25 ;-2,88 ;22,41;24,91;17,86;0
90,25 ;-2,75 ;23,53;22,95;14,06;0
90,25 ;-2,63 ;24,38;21,41;11,55;0
90,25 ;-2,50 ;20,72;22,53;9,25;0
90,25 ;-2,38 ;21,62;22,8;7,42;0
90,25 ;-2,25 ;19,78;22,62;7,84;0
90,25 ;-2,13 ;18,84;23,3;7,34;0
90,25 ;-2,00 ;17,91;23,88;7,59;0
90,25 ;-1,88 ;18,91;22,39;8,3;0
90,25 ;-1,75 ;18,22;22,31;9,28;0
90,25 ;-1,63 ;19,34;21,27;10,17;0
90,25 ;-1,50 ;18,38;20,77;11,75;0
90,25 ;-1,38 ;16,16;19,8;12,66;0
90,25 ;-1,25 ;16,28;19,28;11,58;0
90,25 ;-1,13 ;14,59;17,83;10,3;0
90,25 ;-1,00 ;13,75;17,77;8,83;0,96
90,25 ;-0,88 ;14,25;19,8;8,33;3,6
90,25 ;-0,75 ;15,44;17,25;7,91;3,12
90,25 ;-0,63 ;13,5;15,89;6,36;0,48
90,25 ;-0,50 ;13,22;16,09;4,53;0
90,25 ;-0,38 ;15,59;16,38;5,11;1,44
90,25 ;-0,25 ;14;18,47;5,64;2,88
90,25 ;-0,13 ;16,62;19,39;6,2;4,32
90,25 ;0,00 ;16,22;17,22;6,84;6
90,25 ;0,13 ;15,59;16,72;7,34;8,16
90,25 ;0,25 ;15,75;16,98;8,08;3,12
90,25 ;0,38 ;16,5;15,75;9,16;2,88
90,25 ;0,50 ;16,5;17,28;8,03;13,44
90,25 ;0,63 ;15,28;19,27;8,34;14,16
90,25 ;0,75 ;15,81;19,42;7,92;9,12
90,25 ;0,88 ;14,44;18,23;8,89;4,56
90,25 ;1,00 ;13,38;14,97;8,41;5,04
90,25 ;1,13 ;12,28;14;8,72;4,08
90,25 ;1,25 ;11,25;13,53;9,5;6,96
90,25 ;1,38 ;11,12;13,56;9,7;13,44
90,25 ;1,50 ;10,22;13,22;10,23;11,52
90,25 ;1,63 ;10,38;12,38;11,86;6
90,25 ;1,75 ;10,56;12;12,7;4,8
